month,baseline_emi,strategy_emi,delta
1,21291.38,21291.38,0
2,21291.38,21291.38,0
3,21291.38,21291.38,0
4,21291.38,21291.38,0
5,21291.38,21291.38,0
6,21291.38,21291.38,0
7,21291.38,21291.38,0
8,21291.38,21291.38,0
9,21291.38,21291.38,0
10,21291.38,21291.38,0
11,21291.38,21291.38,0
12,21291.38,21291.38,0
13,21291.38,21291.38,0
14,21291.38,21291.38,0
15,21291.38,21291.38,0
16,21291.38,21291.38,0
17,21291.38,21291.38,0
18,21291.38,21291.38,0
19,21291.38,21291.38,0
20,21291.38,21291.38,0
21,21291.38,21291.38,0
22,21291.38,21291.38,0
23,21291.38,21291.38,0
24,21291.38,21291.38,0
25,21291.38,21291.38,0
26,21291.38,21291.38,0
27,21291.38,21291.38,0
28,21291.38,21291.38,0
29,21291.38,21291.38,0
30,21291.38,21291.38,0
31,21291.38,21291.38,0
32,21291.38,21291.38,0
33,21291.38,21291.38,0
34,21291.38,21291.38,0
35,21291.38,21291.38,0
36,21291.38,21291.38,0
